artist_name,e.country,e.country_3,num_exhibitions
1 unknown,BE,BEL,2
2 unknown,FR,FRA,1
A L Millich,GB,GBR,2
A Molitor,BE,BEL,2
A. A. Baryshnikov,RU,RUS,1
A. A. Chumakhov,RU,RUS,2
A. A. Kharlampovich,RU,RUS,12
A. A. Krasavsky,RU,RUS,1
A. A. Lavrovskaya,RU,RUS,4
A. A. Mitnikov,RU,RUS,1
A. A. Rybkin,RU,RUS,5
A. A. Sincov,RU,RUS,5
A. A. Somova-Mikhailova,RU,RUS,1
A. A. Ziloti,RU,RUS,2
A. B. Cull,GB,GBR,14
A. Barbieri,IT,ITA,1
A. Borja,FR,FRA,2
A. Bryan Wall,US,USA,2
A. De Kat,BE,BEL,6
A. Duncan Carse,IT,ITA,2
A. E. Ivanov,RU,RUS,29
A. F. Blumenfeld,RU,RUS,4
A. F. Elkin,RU,RUS,11
A. G. Ivanov,RU,RUS,12
A. G. Shibanov,RU,RUS,3
A. H. Hannay,GB,GBR,10
A. H. Holt,FR,FRA,3
A. H. Munter,NL,NLD,6
A. I. Abramov,RU,RUS,3
A. I. Ivanov,RU,RUS,4
A. Ivanov,RU,RUS,2
A. J. Kropholler,FR,FRA,3
A. Jacob,FR,FRA,1
A. Jaumandreu Bonsoms,FR,FRA,58
A. K. Filippov,RU,RUS,1
A. K. Shhuko,UA,UKR,2
A. Koopmans,NL,NLD,2
A. Lorel,BE,BEL,2
A. Ludowici,DE,DEU,1
A. M. A. Damen,NL,NLD,4
A. M. Gillilland,GB,GBR,6
A. M. Knottesford-Fortescue,GB,GBR,12
A. M. Potapovsky,RU,RUS,1
A. M. Shaposhnikova,RU,RUS,2
A. M. West,GB,GBR,6
A. Mikuli,RU,RUS,1
A. N. Bart,UA,UKR,3
A. N. van Rijsinge,NL,NLD,2
A. Neumann,AT,AUT,2
A. Neumann,HU,HUN,4
A. P. Grinev,RU,RUS,12
A. P. Tokarev,RU,RUS,55
A. Palgunov,RU,RUS,2
A. Paterson,BE,BEL,26
A. Payne Garnett,GB,GBR,10
A. Pierson,FR,FRA,16
A. Pohl,GB,GBR,1
A. Porter-Bowmar,GB,GBR,14
A. Robinson,RU,RUS,11
A. Romilly Fedden,GB,GBR,7
A. Romilly Fedden,IT,ITA,2
A. S. Rybakov,LT,LTU,4
A. S. Rybakov,RU,RUS,1
A. Sequensová,CZ,CZE,4
A. Sterndale Bennett,GB,GBR,2
A. T. Brindley,GB,GBR,6
A. T. Purcell,GB,GBR,10
A. V. Shhusev,RU,RUS,10
A. V. Shhusev,UA,UKR,4
A. V. Sosionkov,RU,RUS,4
A. Victor Hammond,GB,GBR,6
A. Wallaert,BE,BEL,10
A. Wijers,NL,NLD,4
A. Wilkie Kilgour,GB,GBR,10
A. Ya. Jakobson,RU,RUS,4
A. Yastrzhembsky,RU,RUS,6
A. van der Hoeven,NL,NLD,2
A.-J. van Driesten,NL,NLD,21
A.J.M. Hoogendijk,NL,NLD,4
A.M. Samojlova,RU,RUS,9
Aage Bertelsen,CZ,CZE,4
Aage Bertelsen,DE,DEU,3
Aaron Harry Gorson,US,USA,6
Aba Abramovich,LV,,15
Aba Abramovich,RU,RUS,20
Aba Abramovich,UA,UKR,30
Abbott Handerson Thayer,US,USA,1
Abel Bertram,US,USA,1
Abel Bonnard,BE,BEL,4
Abel Pann,FR,FRA,2
Abele DellaColetta,IT,ITA,1
Abraham Anshelovich Manievich,AT,AUT,4
Abraham Hermanjat,DE,DEU,15
Abraham Hermanjat,FR,FRA,10
Abraham Hermanjat,HU,HUN,3
Abraham Hermanjat,NL,NLD,1
Abraham Hesselink,NL,NLD,4
Abraham Newmann,AT,AUT,20
Abraham Newmann,DE,DEU,2
Abraham Newmann,PL,POL,1
Abraham Walkowitz,US,USA,24
Abraham Wolff,NL,NLD,2
Abraham de Miranda,NL,NLD,1
Abraham van Beyeren,DE,DEU,1
Abraham van der Wissel,NL,NLD,3
Abrahamina Arnolda Louisa Hubrecht,NL,NLD,3
Abram Adolphe Milich,IT,ITA,2
Abram Arkhipov,DE,DEU,1
Abram Arkhipov,GB,GBR,1
Abram Arkhipov,RU,RUS,21
Abram Arkhipov,UA,UKR,3
Abram Kozlov,LV,,8
Abram Kozlov,RU,RUS,8
Abram Kozlov,UA,UKR,16
Abram Motinsky,FR,FRA,16
Abram Poole,US,USA,2
Aby Altson,GB,GBR,16
Achille Beltrame,IT,ITA,2
Achille Carnevale,IT,ITA,1
Achille Cattaneo,IT,ITA,3
Achille Formis,IT,ITA,4
Achille Funi,IT,ITA,9
Achille Jemoli,IT,ITA,4
Achille Lauge,FR,FRA,4
Achille Ouvré,FR,FRA,4
Achille Tominetti,FR,FRA,3
Achille Tominetti,IT,ITA,8
Achille Vertunni,IT,ITA,1
Achsah Barlow Brewster,IT,ITA,1
Ada C. Puzey,GB,GBR,4
Ada Dressler,GB,GBR,2
Ada Gandolfi-Barbiellini,IT,ITA,2
Ada M. Ihler,GB,GBR,6
Ada M. L. Wilson,GB,GBR,2
Ada Matilda Shrimpton,GB,GBR,14
Ada Rocchi Moreschi,IT,ITA,2
Ada Sorani Sadun,IT,ITA,2
Ada Watson,GB,GBR,10
Adalbert Holzer,AT,AUT,6
Adalbert Holzer,DE,DEU,12
Adalbert Metzger,DE,DEU,1
Adalbert Metzger,GB,GBR,1
Adalbert Wex,DE,DEU,3
Adam Burachevski,RU,RUS,7
Adam Emory Albright,US,USA,1
Adam Kunz,GB,GBR,1
Adam Slade,GB,GBR,16
Adamo Carlo Caratti,IT,ITA,1
Addo Wüster,DE,DEU,6
Adelaide Ametis Frassati,IT,ITA,2
Adelaide Ross,GB,GBR,10
