artist_name,e.country,e.country_3,e.startdate,num_exhibitions
1 unknown,BE,BEL,1908,2
2 unknown,FR,FRA,1906,1
A L Millich,GB,GBR,1907,2
A Molitor,BE,BEL,1914,2
A. A. Baryshnikov,RU,RUS,1914,1
A. A. Chumakhov,RU,RUS,1906,2
A. A. Kharlampovich,RU,RUS,1913,12
A. A. Krasavsky,RU,RUS,1911,1
A. A. Lavrovskaya,RU,RUS,1906,4
A. A. Mitnikov,RU,RUS,1913,1
A. A. Rybkin,RU,RUS,1908,3
A. A. Rybkin,RU,RUS,1911,2
A. A. Sincov,RU,RUS,1906,5
A. A. Somova-Mikhailova,RU,RUS,1911,1
A. A. Ziloti,RU,RUS,1913,2
A. B. Cull,GB,GBR,1908,6
A. B. Cull,GB,GBR,1909,6
A. B. Cull,GB,GBR,1911,2
A. Barbieri,IT,ITA,1906,1
A. Borja,FR,FRA,1910,2
A. Bryan Wall,US,USA,1905,1
A. Bryan Wall,US,USA,1910,1
A. De Kat,BE,BEL,1905,6
A. Duncan Carse,IT,ITA,1912,2
A. E. Ivanov,RU,RUS,1908,21
A. E. Ivanov,RU,RUS,1909,8
A. F. Blumenfeld,RU,RUS,1913,4
A. F. Elkin,RU,RUS,1908,11
A. G. Ivanov,RU,RUS,1911,12
A. G. Shibanov,RU,RUS,1913,3
A. H. Hannay,GB,GBR,1908,10
A. H. Holt,FR,FRA,1907,3
A. H. Munter,NL,NLD,1914,6
A. I. Abramov,RU,RUS,1913,3
A. I. Ivanov,RU,RUS,1914,4
A. Ivanov,RU,RUS,1913,2
A. J. Kropholler,FR,FRA,1911,3
A. Jacob,FR,FRA,1906,1
A. Jaumandreu Bonsoms,FR,FRA,1906,58
A. K. Filippov,RU,RUS,1906,1
A. K. Shhuko,UA,UKR,1910,2
A. Koopmans,NL,NLD,1905,2
A. Lorel,BE,BEL,1909,2
A. Ludowici,DE,DEU,1907,1
A. M. A. Damen,NL,NLD,1907,4
A. M. Gillilland,GB,GBR,1909,6
A. M. Knottesford-Fortescue,GB,GBR,1909,6
A. M. Knottesford-Fortescue,GB,GBR,1911,6
A. M. Potapovsky,RU,RUS,1911,1
A. M. Shaposhnikova,RU,RUS,1907,2
A. M. West,GB,GBR,1911,6
A. Mikuli,RU,RUS,1910,1
A. N. Bart,UA,UKR,1911,3
A. N. van Rijsinge,NL,NLD,1909,2
A. Neumann,AT,AUT,1905,2
A. Neumann,HU,HUN,1908,4
A. P. Grinev,RU,RUS,1913,12
A. P. Tokarev,RU,RUS,1905,3
A. P. Tokarev,RU,RUS,1906,6
A. P. Tokarev,RU,RUS,1908,15
A. P. Tokarev,RU,RUS,1909,20
A. P. Tokarev,RU,RUS,1911,11
A. Palgunov,RU,RUS,1913,2
A. Paterson,BE,BEL,1908,26
A. Payne Garnett,GB,GBR,1908,8
A. Payne Garnett,GB,GBR,1909,2
A. Pierson,FR,FRA,1913,16
A. Pohl,GB,GBR,1907,1
A. Porter-Bowmar,GB,GBR,1908,14
A. Robinson,RU,RUS,1905,11
A. Romilly Fedden,GB,GBR,1913,7
A. Romilly Fedden,IT,ITA,1909,2
A. S. Rybakov,LT,LTU,1909,4
A. S. Rybakov,RU,RUS,1911,1
A. Sequensová,CZ,CZE,1912,4
A. Sterndale Bennett,GB,GBR,1910,2
A. T. Brindley,GB,GBR,1909,6
A. T. Purcell,GB,GBR,1909,4
A. T. Purcell,GB,GBR,1911,6
A. V. Shhusev,RU,RUS,1907,1
A. V. Shhusev,RU,RUS,1909,7
A. V. Shhusev,RU,RUS,1915,2
A. V. Shhusev,UA,UKR,1910,4
A. V. Sosionkov,RU,RUS,1913,4
A. Victor Hammond,GB,GBR,1909,6
A. Wallaert,BE,BEL,1913,10
A. Wijers,NL,NLD,1905,4
A. Wilkie Kilgour,GB,GBR,1908,4
A. Wilkie Kilgour,GB,GBR,1909,6
A. Ya. Jakobson,RU,RUS,1907,4
A. Yastrzhembsky,RU,RUS,1906,5
A. Yastrzhembsky,RU,RUS,1913,1
A. van der Hoeven,NL,NLD,1914,2
A.-J. van Driesten,NL,NLD,1907,7
A.-J. van Driesten,NL,NLD,1909,4
A.-J. van Driesten,NL,NLD,1910,10
A.J.M. Hoogendijk,NL,NLD,1905,4
A.M. Samojlova,RU,RUS,1910,1
A.M. Samojlova,RU,RUS,1913,4
A.M. Samojlova,RU,RUS,1914,4
Aage Bertelsen,CZ,CZE,1905,4
Aage Bertelsen,DE,DEU,1905,3
Aaron Harry Gorson,US,USA,1910,1
Aaron Harry Gorson,US,USA,1911,2
Aaron Harry Gorson,US,USA,1912,1
Aaron Harry Gorson,US,USA,1914,2
Aba Abramovich,LV,,1909,5
Aba Abramovich,LV,,1910,10
Aba Abramovich,RU,RUS,1909,5
Aba Abramovich,RU,RUS,1910,15
Aba Abramovich,UA,UKR,1909,10
Aba Abramovich,UA,UKR,1910,20
Abbott Handerson Thayer,US,USA,1910,1
Abel Bertram,US,USA,1905,1
Abel Bonnard,BE,BEL,1914,4
Abel Pann,FR,FRA,1906,2
Abele DellaColetta,IT,ITA,1906,1
Abraham Anshelovich Manievich,AT,AUT,1908,4
Abraham Hermanjat,DE,DEU,1905,6
Abraham Hermanjat,DE,DEU,1910,8
Abraham Hermanjat,DE,DEU,1914,1
Abraham Hermanjat,FR,FRA,1907,10
Abraham Hermanjat,HU,HUN,1910,3
Abraham Hermanjat,NL,NLD,1912,1
Abraham Hesselink,NL,NLD,1908,2
Abraham Hesselink,NL,NLD,1910,2
Abraham Newmann,AT,AUT,1908,2
Abraham Newmann,AT,AUT,1909,4
Abraham Newmann,AT,AUT,1911,14
Abraham Newmann,DE,DEU,1908,2
Abraham Newmann,PL,POL,1908,1
Abraham Walkowitz,US,USA,1913,24
Abraham Wolff,NL,NLD,1914,2
Abraham de Miranda,NL,NLD,1912,1
Abraham van Beyeren,DE,DEU,1913,1
Abraham van der Wissel,NL,NLD,1905,1
Abraham van der Wissel,NL,NLD,1914,2
Abrahamina Arnolda Louisa Hubrecht,NL,NLD,1905,1
Abrahamina Arnolda Louisa Hubrecht,NL,NLD,1907,2
Abram Adolphe Milich,IT,ITA,1915,2
Abram Arkhipov,DE,DEU,1906,1
Abram Arkhipov,GB,GBR,1909,1
Abram Arkhipov,RU,RUS,1907,3
Abram Arkhipov,RU,RUS,1908,6
Abram Arkhipov,RU,RUS,1909,5
Abram Arkhipov,RU,RUS,1913,2
Abram Arkhipov,RU,RUS,1914,5
Abram Arkhipov,UA,UKR,1910,3
Abram Kozlov,LV,,1909,4
Abram Kozlov,LV,,1910,4
Abram Kozlov,RU,RUS,1909,4
Abram Kozlov,RU,RUS,1910,4
Abram Kozlov,UA,UKR,1909,8
Abram Kozlov,UA,UKR,1910,8
Abram Motinsky,FR,FRA,1906,16
Abram Poole,US,USA,1913,2
Aby Altson,GB,GBR,1908,10
Aby Altson,GB,GBR,1911,6
Achille Beltrame,IT,ITA,1912,2
Achille Carnevale,IT,ITA,1908,1
Achille Cattaneo,IT,ITA,1906,2
Achille Cattaneo,IT,ITA,1909,1
Achille Formis,IT,ITA,1906,3
Achille Formis,IT,ITA,1908,1
Achille Funi,IT,ITA,1914,9
Achille Jemoli,IT,ITA,1909,4
Achille Lauge,FR,FRA,1906,4
Achille Ouvré,FR,FRA,1905,2
Achille Ouvré,FR,FRA,1906,2
Achille Tominetti,FR,FRA,1907,3
Achille Tominetti,IT,ITA,1905,2
Achille Tominetti,IT,ITA,1906,3
Achille Tominetti,IT,ITA,1907,3
Achille Vertunni,IT,ITA,1910,1
Achsah Barlow Brewster,IT,ITA,1914,1
Ada C. Puzey,GB,GBR,1908,4
Ada Dressler,GB,GBR,1913,2
Ada Gandolfi-Barbiellini,IT,ITA,1906,1
Ada Gandolfi-Barbiellini,IT,ITA,1908,1
Ada M. Ihler,GB,GBR,1911,6
Ada M. L. Wilson,GB,GBR,1909,2
Ada Matilda Shrimpton,GB,GBR,1908,8
Ada Matilda Shrimpton,GB,GBR,1909,6
Ada Rocchi Moreschi,IT,ITA,1915,2
Ada Sorani Sadun,IT,ITA,1906,2
Ada Watson,GB,GBR,1908,10
Adalbert Holzer,AT,AUT,1908,6
Adalbert Holzer,DE,DEU,1905,12
Adalbert Metzger,DE,DEU,1908,1
Adalbert Metzger,GB,GBR,1908,1
Adalbert Wex,DE,DEU,1905,3
Adam Burachevski,RU,RUS,1906,3
Adam Burachevski,RU,RUS,1907,2
Adam Burachevski,RU,RUS,1908,2
Adam Emory Albright,US,USA,1909,1
Adam Kunz,GB,GBR,1906,1
Adam Slade,GB,GBR,1909,6
Adam Slade,GB,GBR,1911,6
Adam Slade,GB,GBR,1913,2
Adam Slade,GB,GBR,1915,2
Adamo Carlo Caratti,IT,ITA,1906,1
Addo Wüster,DE,DEU,1913,6
Adelaide Ametis Frassati,IT,ITA,1912,2
Adelaide Ross,GB,GBR,1908,10
Adelardo Covarsí Yustas,GB,GBR,1914,1
Adelbert Niemeyer,AT,AUT,1907,1
Adelbert Niemeyer,DE,DEU,1905,11
Adelbert Niemeyer,DE,DEU,1907,2
Adelbert Niemeyer,DE,DEU,1909,2
